house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,totcruns,totcwins,kucode,region,prcode,inc,camp,ku_vote,ku_totvote,ku_electorate,ku_voteshare,ku_rank,ku_ncand,pr_partyvote,pr_totvote,pr_electorate,pr_voteshare,pr_m,pr_partyseats,pr_rank,pr_ncand,pr_rerank,poptotal,popmale,popfemale,popunder15,popover65,popdid,popdensity,byear,bplace,bplace_id,background_jp,background_eng,busi,priorwins,incumbent2,incdummy2,hc,bcrat_id,news,union,agri,celeb_id,qual,educ,law,med,relig,police,pubcorp,mili,juku,kobo,dynasty,family,pre_local,pre_cand,pre_mp,seshu,junior,cablegacy,pre_fam,cabappt,cabexp,junappt,junexp,pm,pid,party_en_orig,borninken
HR,2014,八木哲也,Aichi 11,SMD,自民党,1,LDP,2,2,"Currently in office, 1 term",0,Male,67,60-69,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,1,1,0,2,2,2311,Tokai,70000,2,1,97167,240548,369434,0.40394017,2,3,2147672,6449446,12122808,0.333001005,21,8,1,38,7,479022,252376,226646,74461,76695,278324,0.5810255,1947,愛知県豊田市,2311,党経産副部会長［歴］自動車部品製造会社員▽豊田市議長▽中大,city assembly,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,18105,LDP,1
HR,2014,牧田充生,Aichi 11,SMD,共産党,5,JCP,0,0,No experience,0,Male,60,60-69,0,Born outside district,0,High school,0,None,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2311,Tokai,0,0,5,16883,240548,369434,0.070185576,3,3,,,,,,,,,,479022,252376,226646,74461,76695,278324,0.5810255,1954,静岡県静岡市,2201,党１１区政策委員▽繊維会社経営［歴］党地区委員▽静岡市商高,business manager,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19759,JCP,0
HR,2014,古本伸一郎,Aichi 11,SMD,民主党,16,DPJ,1,6,"Currently in office, 3+ terms",0,Male,49,40-49,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,5,5,2311,Tokai,70000,1,4,126498,240548,369434,0.525874254,1,3,1491764,6449446,12122808,0.231301107,21,5,2,29,0,479022,252376,226646,74461,76695,278324,0.5810255,1965,香川県高松市,3705,［元］財務政務官▽党税調副会長［歴］トヨタ自動車社員▽立命館大,"business employee, labor union",0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,1,0,12137,DPJ,0
HR,2014,青山周平,Aichi 12,SMD,自民党,1,LDP,2,2,"Currently in office, 1 term",0,Male,37,Under_40,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2312,Tokai,70000,1,1,118165,271420,458221,0.435358485,2,3,2147672,6449446,12122808,0.333001005,21,8,1,38,3,575585,289562,286023,87985,108010,369799,0.6424751,1977,岡崎市,2312,党青年局次長［歴］学校法人幼稚園長▽党県青年部政調会長▽法大,kindergarten education,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,15339,LDP,1
HR,2014,牧野次郎,Aichi 12,SMD,共産党,5,JCP,0,0,No experience,0,Male,56,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,1,1,0,1,0,2312,Tokai,0,0,5,21637,271420,458221,0.079717781,3,3,,,,,,,,,,575585,289562,286023,87985,108010,369799,0.6424751,1958,愛知県西尾市,2312,党地区常任委員▽作業服小売業［歴］西尾市議▽党西尾市委員長▽中部工大,municipal assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19760,JCP,1
HR,2014,重徳和彦,Aichi 12,SMD,維新の党,35,JIP,1,2,"Currently in office, 1 term",0,Male,43,40-49,0,Born outside district,3,University of Tokyo,0,None,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2312,Tokai,70000,2,1,131618,271420,458221,0.484923734,1,3,964240,6449446,12122808,0.149507415,21,3,1,7,0,575585,289562,286023,87985,108010,369799,0.6424751,1971,愛知県豊田市,2314,党政調副会長［歴］総務省課長補佐▽予算委員▽地方創生特別委理事▽東大,bureaucrat,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,13916,JRP,1
HR,2014,大見正,Aichi 13,SMD,自民党,1,LDP,2,2,"Currently in office, 1 term",0,Male,56,50-59,1,Born inside district,2,Private university,0,None,0,0,0,0,0,1,0,1,1,1,1,0,2,2,2313,Tokai,70000,1,1,101144,235081,399518,0.4302517,2,3,2147672,6449446,12122808,0.333001005,21,8,1,38,5,508915,263112,245803,81188,85554,389871,0.7660828,1958,愛知県安城市,2313,党財務金融副部会長［歴］衆院議員秘書▽安城市議▽県議▽関西外大,"municipal assembly, prefectural assembly, MP secretary, PTA",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,16132,LDP,1
HR,2014,宮地勲,Aichi 13,SMD,共産党,5,JCP,0,0,No experience,0,Male,60,60-69,0,Born outside district,0,High school,0,None,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2313,Tokai,0,0,5,17285,235081,399518,0.073527848,3,3,,,,,,,,,,508915,263112,245803,81188,85554,389871,0.7660828,1954,愛知県西尾市,2312,党１３区政策委員長・地区委員［歴］刈谷民主商工会事務局員▽高浜高,cooperative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,11633,JCP,1
HR,2014,大西健介,Aichi 13,SMD,民主党,16,DPJ,1,4,"Currently in office, 2 terms",0,Male,43,40-49,0,Born outside district,1,Local public university,0,None,0,0,0,1,0,0,0,1,1,0,0,0,3,3,2313,Tokai,70000,2,4,116652,235081,399518,0.496220452,1,3,1491764,6449446,12122808,0.231301107,21,5,2,29,0,508915,263112,245803,81188,85554,389871,0.7660828,1971,大阪府大阪市,2703,党青年委員長代理・県政調会長［歴］参院事務局職員▽衆院議員秘書▽京大,"bur, MP sec, educ",0,2,2,1,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,16180,DPJ,0
HR,2014,今枝宗一郎,Aichi 14,SMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,30,Under_40,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2314,Tokai,70000,1,1,77513,154488,262144,0.501741236,1,3,2147672,6449446,12122808,0.333001005,21,8,1,38,0,327466,161711,165755,45778,78342,182369,0.5569097,1984,愛知県名古屋市,2301,党国交副部会長・水産副部会長・薬事小委事務局長▽医師▽名大,doctor,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,12663,LDP,1
HR,2014,袴田富治,Aichi 14,SMD,共産党,5,JCP,0,0,No experience,0,Male,62,60-69,1,Born inside district,1,Local public university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2314,Tokai,0,0,5,14872,154488,262144,0.096266377,3,3,,,,,,,,,,327466,161711,165755,45778,78342,182369,0.5569097,1952,愛知県蒲郡市,2314,党１４区国政対策委員長▽介護施設ヘルパー［歴］農協職員▽名大,agriculture/Nokyo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19577,JCP,1
HR,2014,鈴木克昌,Aichi 14,SMD,民主（生）,16,DPJ,2,6,"Currently in office, 3+ terms",0,Male,71,Over_70,1,Born inside district,2,Private university,0,None,0,1,0,0,0,1,0,0,1,0,1,1,6,5,2314,Tokai,70000,2,4,62103,154488,262144,0.401992388,2,3,1491764,6449446,12122808,0.231301107,21,5,2,29,5,327466,161711,165755,45778,78342,182369,0.5569097,1943,愛知県蒲郡市,2314,［元］副総務相［歴］県議▽蒲郡市長▽党副幹事長▽生活の党代表代行▽日大,"mayor, prefectural assembly, business executive",1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,1,0,19366,DPJ,1
HR,2014,根本幸典,Aichi 15,SMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,49,40-49,1,Born inside district,1,Local public university,0,None,1,0,0,0,0,0,0,1,1,1,1,0,2,2,2315,Tokai,70000,1,1,97152,184775,346433,0.525785415,1,3,2147672,6449446,12122808,0.333001005,21,8,1,38,0,440784,220773,220011,64497,90004,278240,0.6312389,1965,豊橋市,2315,党農林副部会長［歴］リクルート社員▽参院議員秘書▽豊橋市議▽一橋大,"MP secretary, business employee, municipal assembly",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,12702,LDP,1
HR,2014,串田真吾,Aichi 15,SMD,共産党,5,JCP,0,0,No experience,0,Male,38,Under_40,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2315,Tokai,0,0,5,23143,184775,346433,0.125249628,3,3,,,,,,,,,,440784,220773,220011,64497,90004,278240,0.6312389,1976,愛知県刈谷市,2313,党地区副委員長・県委員［歴］民青同盟県委員長▽名古屋学院大,party youth org.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,11893,JCP,1
HR,2014,関健一郎,Aichi 15,SMD,民主党,16,DPJ,0,0,No experience,0,Male,36,Under_40,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2315,Tokai,70000,0,4,64480,184775,346433,0.348964957,2,3,1491764,6449446,12122808,0.231301107,21,5,2,29,10,440784,220773,220011,64497,90004,278240,0.6312389,1978,東京都,13,［元］ＮＨＫ記者▽党１５区総支部長▽慶大,"media (news, NHK)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19547,DPJ,0
HR,2014,東郷哲也,Aichi 2,SMD,自民党,1,LDP,0,2,"Currently in office, 1 term",0,Male,43,40-49,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,1,1,1,1,0,2,1,2302,Tokai,70000,2,1,67681,192867,387954,0.350920583,2,3,2147672,6449446,12122808,0.333001005,21,8,1,38,9,489578,238893,250685,68295,94880,468375,0.9566913,1971,埼玉県,11,［元］名古屋市議▽党外交副部会長・国防副部会長［歴］衆院議員秘書▽ 名古屋外国語大学、外国語学部中国語学科、早稲田大学大学院、公共経営研究科専門職学位課程修了,"municipal assembly, MP secretary",0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,17609,LDP,0
HR,2014,黒田二郎,Aichi 2,SMD,共産党,5,JCP,0,0,No experience,0,Male,66,60-69,1,Born inside district,0,High school,0,None,0,0,0,0,1,0,0,0,1,1,1,0,2,0,2302,Tokai,0,0,5,23128,192867,387954,0.119916834,3,3,,,,,,,,,,489578,238893,250685,68295,94880,468375,0.9566913,1948,名古屋市,2302,［元］名古屋市議▽党地区常任委員［歴］名古屋市水道局職員▽楠中,"municipal assembly, local civil servant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,12639,JCP,1
HR,2014,古川元久,Aichi 2,SMD,民主党,16,DPJ,1,6,"Currently in office, 3+ terms",0,Male,49,40-49,1,Born inside district,3,University of Tokyo,0,None,0,0,0,1,0,0,0,0,1,0,0,0,7,7,2302,Tokai,70000,1,4,102058,192867,387954,0.529162584,1,3,1491764,6449446,12122808,0.231301107,21,5,2,29,0,489578,238893,250685,68295,94880,468375,0.9566913,1965,愛知県名古屋市中区,2302,［元］国家戦略担当相▽党税調会長［歴］大蔵省職員▽官房副長官▽東大,bureaucrat,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,1,0,1,0,12119,DPJ,1
HR,2014,池田佳隆,Aichi 3,SMD,自民党,1,LDP,2,2,"Currently in office, 1 term",0,Male,48,40-49,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2303,Tokai,70000,1,1,72353,198851,393338,0.363855349,2,5,2147672,6449446,12122808,0.333001005,21,8,1,38,4,493921,244907,249014,70936,92217,482421,0.9767169,1966,名古屋市,2303,［元］日本青年会議所会頭▽党文科副部会長［歴］小学校ＰＴＡ会長▽慶大院,business president,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,16499,LDP,1
HR,2014,石川寿,Aichi 3,SMD,共産党,5,JCP,0,0,No experience,0,Male,49,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2303,Tokai,0,0,5,22676,198851,393338,0.114035132,3,5,,,,,,,,,,493921,244907,249014,70936,92217,482421,0.9767169,1965,愛知県名古屋市,2303,党県委員・地区委員長［歴］民青同盟地区委員長▽愛知大,party youth org.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,15502,JCP,1
HR,2014,近藤昭一,Aichi 3,SMD,民主党,16,DPJ,1,6,"Currently in office, 3+ terms",0,Male,56,50-59,1,Born inside district,2,Private university,1,Local-level elected politician,1,0,0,0,0,0,0,0,1,0,0,0,7,7,2303,Tokai,70000,2,4,82422,198851,393338,0.414491252,1,5,1491764,6449446,12122808,0.231301107,21,5,2,29,0,493921,244907,249014,70936,92217,482421,0.9767169,1958,愛知県名古屋市,2303,［元］副環境相▽党県副代表［歴］中日新聞社員▽環境委筆頭理事▽上智大,media (newspaper),0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,,0,0,0,1,0,11795,DPJ,1
HR,2014,井桁亮,Aichi 3,SMD,次世代の党,39,PFG,0,0,No experience,0,Male,45,40-49,0,Born outside district,2,Private university,1,Local-level elected politician,1,0,0,0,0,1,0,1,1,1,1,0,4,0,2303,Tokai,0,0,1,6984,198851,393338,0.035121775,5,5,,,,,,,,,,493921,244907,249014,70936,92217,482421,0.9767169,1969,愛知県津島市,2309,学習塾講師［歴］衆院議員秘書▽県議▽津島市議▽上智大,"municipal assembly, prefectural assembly, MP secretary, juku teacher",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,井桁,1,1,0,0,0,0,"井桁克 (father, unelected)",0,0,0,0,0,10280,PFG,1
HR,2014,増田成美,Aichi 3,SMD,減税日本,99,Other,0,0,No experience,1,Female,41,40-49,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2303,Tokai,0,0,4,14416,198851,393338,0.072496492,4,5,,,,,,,,,,493921,244907,249014,70936,92217,482421,0.9767169,1973,愛知県名古屋市,2303,建設会社社長▽減税日本市政緑区支部長［歴］建設会社員▽中大,construction company president,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,15928,Minor Party,1
HR,2014,工藤彰三,Aichi 4,SMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,50,50-59,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,1,1,1,1,0,2,2,2304,Tokai,70000,1,1,66213,171617,369566,0.385818421,1,4,2147672,6449446,12122808,0.333001005,21,8,1,38,0,460305,229210,231095,56640,105331,452483,0.9830069,1964,愛知県名古屋市,2304,［元］名古屋市議▽広告会社役員［歴］衆院議員秘書▽党県青年局長代理▽中大,"municipal assembly, MP secretary, business executive",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,12243,LDP,1
HR,2014,高橋祐介,Aichi 4,SMD,共産党,5,JCP,0,0,No experience,0,Male,36,Under_40,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2304,Tokai,70000,0,5,21828,171617,369566,0.127190197,4,4,618695,6449446,12122808,0.095929945,21,2,4,4,4,460305,229210,231095,56640,105331,452483,0.9830069,1978,愛知県名古屋市,2304,党地区委員・４区くらし雇用対策委員長［歴］県立高非常勤講師▽名城大,education,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19592,JCP,1
HR,2014,刀禰勝之,Aichi 4,SMD,民主党,16,DPJ,0,0,No experience,0,Male,44,40-49,1,Born inside district,2,Private university,0,None,1,0,0,0,0,1,0,1,1,0,1,0,2,0,2304,Tokai,70000,0,4,36285,171617,369566,0.211430103,3,4,1491764,6449446,12122808,0.231301107,21,5,2,29,13,460305,229210,231095,56640,105331,452483,0.9830069,1970,愛知県名古屋市,2304,［元］県議［歴］銀行員▽衆院議員秘書▽党県議団政調会長▽早大,"MP secretary, prefectural assembly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,17543,DPJ,1
HR,2014,牧義夫,Aichi 4,SMD,維新の党,35,JIP,2,5,"Formerly in office, 3+ terms",0,Male,56,50-59,1,Born inside district,0,High school,0,None,0,0,0,1,0,0,0,1,1,0,0,0,6,5,2304,Tokai,70000,0,1,47291,171617,369566,0.275561279,2,4,964240,6449446,12122808,0.149507415,21,3,1,7,2,460305,229210,231095,56640,105331,452483,0.9830069,1958,愛知県名古屋市,2304,［元］副厚労相▽嘉悦大客員教授［歴］衆院議員秘書▽上智大中退,"MP sec, bur (Defense Ministry PR)",0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,1,0,18735,JRP,1
HR,2014,神田憲次,Aichi 5,SMD,自民党,1,LDP,2,2,"Currently in office, 1 term",0,Male,51,50-59,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2305,Tokai,70000,1,1,71616,189142,415845,0.378636157,2,4,2147672,6449446,12122808,0.333001005,21,8,1,38,6,519418,259417,260001,67702,111756,490770,0.944846,1963,大分県,44,税理士▽党財務金融副部会長［歴］財務金融委員▽愛知学院大院,accountant,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,,0,0,0,0,0,14905,LDP,0
HR,2014,藤井博樹,Aichi 5,SMD,共産党,5,JCP,0,0,No experience,0,Male,37,Under_40,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2305,Tokai,0,0,5,23069,189142,415845,0.121966565,3,4,,,,,,,,,,519418,259417,260001,67702,111756,490770,0.944846,1977,大阪府,27,党准県委員・地区常任委員・５区国政対策委員長［歴］住宅会社員▽東海大,business employee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,17675,JCP,0
